Актикул;Partnumber;Категория;Производитель;Название;Розничная цена;Мелкий опт;Валюта
124838;HOT39D2A085;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HOT39D2A085;5482;5334;Руб.
124805;NXW0K1025;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC NXW0K1025;136024;133357;Руб.
147750;SNCA-HRX550/INT;Кожухи для видеокамер (Ex);Sony;Кожух Sony SNCA-HRX550/INT;31270;34810;Руб.
162007;WHE32-12V-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WHE32-12V-mbsc25 с кронштейном;9037;По запросу;Руб.
124778;NXM0D1000B;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC NXM0D1000B;65419;64085;Руб.
161975;SV32P-03/04МNR;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SV32P-03/04МNR защитный для видеокамер;15080;По запросу;Руб.
159618;CIVS-IPCA-1005=;Кожухи для видеокамер (Ex);Cisco;Купол Cisco CIVS-IPCA-1005=;3262;3262;Руб.
156336;ТВК-07-Н;Кожухи для видеокамер (Ex);Эридан;Взрывозащищённый термокожух Эридан ТВК-07-Н;67600;По запросу;Руб.
159152;UHO-HPS-51;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHO-HPS-51;17014;17453;Руб.
100432;WIR26P;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WIR26P;79703;72114;Руб.
100412;SVS32P-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32P-12V;15721;14224;Руб.
100396;SVS26L;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26L;5439;4921;Руб.
100378;L320;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L320;6783;5063;Руб.
100362;EL320-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL320-12V;7129;5321;Руб.
100346;fresh 260-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox fresh 260-12V;5049;3768;Руб.
124904;HEG37K1A000;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HEG37K1A000;13335;12298;Руб.
124879;HPV42K2A016;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV42K2A016;13706;13409;Руб.
125760;HOV-260H-12-24;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HOV-260H-12-24;18100;По запросу;Руб.
100441;AWH32;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox AWH32;70291;59623;Руб.
100425;SV32-03/04M;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32-03/04M;16190;16637;Руб.
100405;SVS32;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32;7895;7143;Руб.
158771;VGA-BUBBLE-CTIR;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBBLE-CTIR;5495;5724;Руб.
117298;SHB-4300H;Кожухи для видеокамер (Ex);Samsung;Термокожух Samsung SHB-4300H;11811;По запросу;Руб.
100389;SVS21L;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS21L;4778;4323;Руб.
103071;STH-5230D-PSU2;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-5230D-PSU2;11876;10963;Руб.
155658;T95A00;Кожухи для видеокамер (Ex);AXIS;Купольный кожух AXIS T95A00;52818;По запросу;Руб.
100371;LS210-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox LS210-24V;5515;4116;Руб.
100355;EL260;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL260;5446;4065;Руб.
133107;MX-WH-Dome;Кожухи для видеокамер (Ex);Mobotix;Кожух Mobotix MX-WH-Dome;14817;По запросу;Руб.
125183;EXPTC000;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC EXPTC000;605888;605888;Руб.
124894;HPV42K1A160;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV42K1A160;11557;11261;Руб.
140827;WCH32 T (с блендой);Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WCH32 T (с блендой);129313;117000;Руб.
162016;WEX40-220V-03;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WEX40-220V-03 для защиты телекамер;130271;По запросу;Руб.
124791;NTM1K1000;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC NTM1K1000;143581;177810;Руб.
162000;SVS26-42V-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox SVS26-42V-mbsc25 с кронштейном;9675;По запросу;Руб.
161968;SVS26PAV-12V;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SVS26PAV-12V защитный для IP-камер;12464;По запросу;Руб.
200487;ICH-300M;Кожухи для видеокамер (Ex);Infinity;Гермокожух Infinity ICH-300M;1805;33;Руб.
159359;EH5729-3;Кожухи для видеокамер (Ex);PELCO;Термокожух PELCO EH5729-3;55730;71196;Руб.
110967;SHB-4300H2;Кожухи для видеокамер (Ex);Samsung;Кожух Samsung SHB-4300H2;14878;По запросу;Руб.
134165;ТГБ-7-24/12;Кожухи для видеокамер (Ex);Тахион;Гермобокс Тахион ТГБ-7-24/12;9723;По запросу;Руб.
124988;WBJA;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC WBJA;1259;1185;Руб.
124907;HEG37K1A074;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HEG37K1A074;16077;14817;Руб.
147753;SNCA-HRX550EXT/W;Кожухи для видеокамер (Ex);Sony;Кожух Sony SNCA-HRX550EXT/W;54133;67260;Руб.
162009;E260-IP;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox E260-IP с кронштейном для IP-камер;5079;По запросу;Руб.
124780;NXM2K1000B;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC NXM2K1000B;71790;70383;Руб.
161977;SVS32-24V;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SVS32-24V защитный для видеокамер;10383;По запросу;Руб.
161961;WCH32 (с блендой);Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WCH32 (с блендой);103451;По запросу;Руб.
106269;ICH-300M/24V;Кожухи для видеокамер (Ex);Infinity;Уличный гермокожух Infinity ICH-300M/24V;1805;2310;Руб.
140326;SHP-3701H;Кожухи для видеокамер (Ex);Samsung;Кожух Samsung SHP-3701H;17489;По запросу;Руб.
106350;DOME4-I;Кожухи для видеокамер (Ex);Arecont Vision;Кожух Arecont Vision DOME4-I;15923;По запросу;Руб.
127332;190S;Кожухи для видеокамер (Ex);RVi;Козырек RVi 190S;136;170;Руб.
100434;TNR32;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox TNR32;15198;13751;Руб.
137584;HPV42K2A700;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HPV42K2A700;17410;17040;Руб.
100415;SV32P-03/04;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32P-03/04;31926;28886;Руб.
100398;SVS26L-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26L-24V;5439;4921;Руб.
100380;L320-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L320-24V;6765;5049;Руб.
100364;ELS320;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox ELS320;6735;5027;Руб.
158985;VGA-BUBBLE-CCLA;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBBLE-CCLA;4697;5429;Руб.
100348;E210;Кожухи для видеокамер (Ex);Wizebox;Корпус термокожуха Wizebox E210;3724;2780;Руб.
154219;H3/PoE;Кожухи для видеокамер (Ex);RVi;Термокожух RVi H3/PoE;7040;8800;Руб.
159147;UHO-HBGS-51;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHO-HBGS-51;17014;17453;Руб.
100427;SV32P-08;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32P-08;15252;13799;Руб.
100407;SVS32-42V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32-42V;11259;10187;Руб.
158773;VGA-BUBBLE-PCLR;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBBLE-PCLR;5495;5724;Руб.
100391;SVS21L-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS21L-24V;4778;4323;Руб.
100373;L260;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L260;6173;4607;Руб.
100357;EL260-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL260-24V;5434;4056;Руб.
125190;EXPTS000;Кожухи для видеокамер (Ex);VIDEOTEC;Козырек VIDEOTEC EXPTS000;7927;8001;Руб.
124896;HPV36K1A000B;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV36K1A000B;6371;6223;Руб.
106229;ISE-VPC/NT;Кожухи для видеокамер (Ex);Infinity;Дымчатый купол Infinity ISE-VPC/NT;1105;1300;Руб.
162018;WEX40-220V-08;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WEX40-220V-08;122608;По запросу;Руб.
162002;SVS32-12V-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox SVS32-12V-mbsc25 с кронштейном;13669;По запросу;Руб.
161970;SV26-03/04МNR;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SV26-03/04МNR защитный для видеокамер;11840;По запросу;Руб.
159629;CIVS-IPCA-1019=;Кожухи для видеокамер (Ex);Cisco;Купол Cisco CIVS-IPCA-1019=;2936;3262;Руб.
118973;HEM-300H-12/24;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HEM-300H-12/24;3500;По запросу;Руб.
162526;PC1A;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH PC1A погодозащитный;15911;По запросу;Руб.
133093;MX-OPT-WH;Кожухи для видеокамер (Ex);Mobotix;Кожух Mobotix MX-OPT-WH;9853;По запросу;Руб.
158439;UHI-OG-0;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHI-OG-0;9305;9545;Руб.
124843;HOV32K1A000;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HOV32K1A000;9409;9186;Руб.
162011;THM32H-220V-IR;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM32H-220V-IR для защиты тепловизоров;195619;По запросу;Руб.
161979;WHT465;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WHT465 защитный для телекамер;19260;По запросу;Руб.
134695;CMA015;Кожухи для видеокамер (Ex);Teleste;Кожух Teleste CMA015;11261;9557;Руб.
161963;WEX40-24V-03 (с блендой);Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WEX40-24V-03 (с блендой);149429;По запросу;Руб.
106271;ICH-310HCB;Кожухи для видеокамер (Ex);Infinity;Уличный гермокожух Infinity ICH-310HCB;2885;3150;Руб.
134128;ТВК-18 ВБ;Кожухи для видеокамер (Ex);Тахион;Гермобокс Тахион ТВК-18 ВБ;30214;По запросу;Руб.
135371;WHE32-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox WHE32-24V;12876;11650;Руб.
100436;THM40;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM40;92026;78059;Руб.
100417;SV32-03/04;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32-03/04;29809;26971;Руб.
100400;SVS26-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26-12V;13118;11868;Руб.
159042;NIN-DMY;Кожухи для видеокамер (Ex);BOSCH;Корпус BOSCH NIN-DMY;6735;7786;Руб.
100382;LS320-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox LS320-24V;7494;5593;Руб.
100366;L210;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L210;4962;3704;Руб.
158987;VGA-BUBHD-CCLA;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBHD-CCLA;7178;7363;Руб.
166079;MX-D24M-Vandal-PUBL;Кожухи для видеокамер (Ex);Mobotix;Антивандальный кожух Mobotix MX-D24M-Vandal-PUBL;9853;По запросу;Руб.
100350;EL210-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL210-12V;4001;2986;Руб.
118974;HEB-320H-12-220;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HEB-320H-12-220;7200;По запросу;Руб.
159149;UHO-HBPS-51;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHO-HBPS-51;18696;19181;Руб.
100429;SV32-08;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32-08;10393;9403;Руб.
100409;SVS26P-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS26P-12V;14338;12972;Руб.
158775;VGA-BUBBLE-PTIR;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBBLE-PTIR;5495;5724;Руб.
100393;SVS21-9V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS21-9V;4545;4670;Руб.
103068;STH-1230D-PSU1;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-1230D-PSU1;7504;7178;Руб.
100375;L260-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L260-24V;6154;4593;Руб.
100359;ELS260-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox ELS260-24V;6075;4532;Руб.
100343;fresh 260S;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox fresh 260S;5692;4248;Руб.
124898;HPV36K2A015B;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV36K2A015B;8223;8001;Руб.
124835;HOT39D1A000;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HOT39D1A000;3926;3778;Руб.
162020;WCH32 T;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WCH32 T;100577;По запросу;Руб.
162004;SVS32-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox SVS32-mbsc25 с кронштейном;8558;По запросу;Руб.
161972;SV26P-03/04M;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SV26P-03/04M защитный для видеокамер;20022;По запросу;Руб.
100384;WHE26-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox WHE26-12V;12430;11426;Руб.
103070;STH-3230D-PSU1;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-3230D-PSU1;9397;8875;Руб.
155655;T92A00;Кожухи для видеокамер (Ex);AXIS;Термокожух AXIS T92A00;20265;По запросу;Руб.
100368;L210-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox L210-24V;4962;3704;Руб.
158989;VGA-BUBLRG-CCLA;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBLRG-CCLA;4697;5429;Руб.
100352;ELS210;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox ELS210;4185;3123;Руб.
162528;MIC-67SUNSHLD;Кожухи для видеокамер (Ex);BOSCH;Козырёк BOSCH MIC-67SUNSHLD для защиты от солнца;9216;По запросу;Руб.
133096;MX-Q24M-Vandal-ESMA;Кожухи для видеокамер (Ex);Mobotix;Кожух Mobotix MX-Q24M-Vandal-ESMA;19855;По запросу;Руб.
124925;HTG37K1A000;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HTG37K1A000;81644;100759;Руб.
124848;HOV32K1A100;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HOV32K1A100;28449;27856;Руб.
140806;WHT465IP-24V;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox WHT465IP-24V;19931;14875;Руб.
162013;THM32;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM32 мини;92394;По запросу;Руб.
134697;CMA035;Кожухи для видеокамер (Ex);Teleste;Кожух Teleste CMA035;12743;11631;Руб.
161965;SVS32P-P13;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SVS32P-P13 защитный для IP-телекамер;13399;По запросу;Руб.
134157;ТГБ-4Г-220/12;Кожухи для видеокамер (Ex);Тахион;Гермобокс Тахион ТГБ-4Г-220/12;46985;По запросу;Руб.
122179;SNCA-ICPTZ/T;Кожухи для видеокамер (Ex);Sony;Кожух декоративный Sony SNCA-ICPTZ/T;28759;35754;Руб.
100438;THM40H-24V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM40H-24V;96656;81987;Руб.
100419;SV32P-03/04NR;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32P-03/04NR;19418;17539;Руб.
100402;SVS32L;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32L;6022;5448;Руб.
162006;WHE26-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WHE26-mbsc25 с кронштейном;8104;По запросу;Руб.
161974;SV32P-03/04M;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SV32P-03/04M защитный для видеокамер;20489;По запросу;Руб.
159617;CIVS-IPCA-1004=;Кожухи для видеокамер (Ex);Cisco;Купол Cisco CIVS-IPCA-1004=;2936;3262;Руб.
118975;HOV-260H-12-220;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HOV-260H-12-220;19400;По запросу;Руб.
156335;ТВК-07-В;Кожухи для видеокамер (Ex);Эридан;Взрывозащищённый термокожух Эридан ТВК-07-В;85993;По запросу;Руб.
159151;UHO-HGS-51;Кожухи для видеокамер (Ex);BOSCH;Кожух BOSCH UHO-HGS-51;13558;13909;Руб.
100431;WHM32-24V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WHM32-24V;28899;24513;Руб.
100411;SVS32P;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32P;11483;10390;Руб.
100395;SVS21-24/9V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS21-24/9V;4545;4670;Руб.
103065;STH-1230S;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-1230S;5807;5481;Руб.
100377;LS260-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox LS260-24V;6862;5122;Руб.
100361;EL320;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox EL320;6131;4576;Руб.
100345;fresh 260;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox fresh 260;5072;3786;Руб.
124903;HGV52K2A200;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HGV52K2A200;85719;84015;Руб.
124874;HPV42K1A000;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV42K1A000;7705;7556;Руб.
124837;HOT39D1A085;Кожухи для видеокамер (Ex);VIDEOTEC;Термокожух VIDEOTEC HOT39D1A085;5482;5334;Руб.
124804;NXW0K1000;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC NXW0K1000;96758;94832;Руб.
134244;H1/12;Кожухи для видеокамер (Ex);RVi;Термокожух RVi H1/12;2376;2970;Руб.
100440;THM40HF-24V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM40HF-24V;98072;83188;Руб.
100421;SV32-03/04NR;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SV32-03/04NR;17298;15650;Руб.
164250;STH-6230DL-PSU2;Кожухи для видеокамер (Ex);Smartec;Термокожух Smartec STH-6230DL-PSU2;29105;По запросу;Руб.
100404;SVS32L-24V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox SVS32L-24V;6022;5448;Руб.
158770;VGA-BUBBLE-CCLR;Кожухи для видеокамер (Ex);BOSCH;Купол BOSCH VGA-BUBBLE-CCLR;5495;5724;Руб.
100387;WHE32-12V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox WHE32-12V;13370;12097;Руб.
155657;T95A10;Кожухи для видеокамер (Ex);AXIS;Купольный кожух AXIS T95A10;48749;По запросу;Руб.
100370;LS210-9V;Кожухи для видеокамер (Ex);Wizebox;Защитный кожух Wizebox LS210-9V;4681;4116;Руб.
100354;E260;Кожухи для видеокамер (Ex);Wizebox;Корпус термокожуха Wizebox E260;5121;3822;Руб.
125178;EXHC003R;Кожухи для видеокамер (Ex);VIDEOTEC;Кожух VIDEOTEC EXHC003R;108093;125059;Руб.
124930;HEB32K2A000B;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HEB32K2A000B;9483;8742;Руб.
140820;WEX40-220V-03 (с блендой);Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox WEX40-220V-03 (с блендой);149429;135200;Руб.
162015;THM32H-24V;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox THM32H-24V мини;94032;По запросу;Руб.
161999;SVS26-12V-mbsc25;Кожухи для видеокамер (Ex);Wizebox;Термокожух Wizebox SVS26-12V-mbsc25 с кронштейном;13807;По запросу;Руб.
140662;HPV42K2A716;Кожухи для видеокамер (Ex);VIDEOTEC;Гермокожух Videotec HPV42K2A716;19707;19262;Руб.
161967;SVS26PAV-42V;Кожухи для видеокамер (Ex);Wizebox;Кожух Wizebox SVS26PAV-42V защитный для IP-камер;12245;По запросу;Руб.
118869;HEB-320H-220;Кожухи для видеокамер (Ex);LTV;Термокожух LTV HEB-320H-220;4900;По запросу;Руб.
159357;EH4718;Кожухи для видеокамер (Ex);PELCO;Термокожух PELCO EH4718;39546;38893;Руб.
134164;ТГБ-7-220/12;Кожухи для видеокамер (Ex);Тахион;Гермобокс Тахион ТГБ-7-220/12;10049;По запросу;Руб.
124905;HEG37K2A000;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HEG37K2A000;13335;12298;Руб.
124880;HPV42K2A017;Кожухи для видеокамер (Ex);VIDEOTEC;Корпус VIDEOTEC HPV42K2A017;13706;13409;Руб.
124840;OHOTS;Кожухи для видеокамер (Ex);VIDEOTEC;Козырек VIDEOTEC OHOTS;592;666;Руб.
147751;SNCA-HRX550/PRE;Кожухи для видеокамер (Ex);Sony;Кожух Sony SNCA-HRX550/PRE;92195;114578;Руб.
